"price","retail_price","units_sold","uses_ad_boosts","rating ","countries_shipped_to","origin_country","merchant_title","merchant_rating","product_id","discount","sales_revenue","units_sold_volume"
11,20,20000,0,3.56,37,"CN","guangzhou ",3.96,"55acbdf8ed44704872df93e2",45.00,220000,"High"
11,50,20000,0,4.22,43,"CN","snowgirl",3.97,"5c3d7f9c4cd456252b1aaf7b",78.00,220000,"High"
4,6,50000,0,4,30,"CN","hui zhou m",4.09,"5953892749a5f7756941171f",33.33,200000,"Very High"
9,8,20000,1,4.14,38,"CN","zhtdxyscdy",4.15,"5adeaf1617c7a925122b2941",-12.50,180000,"High"
9,8,20000,0,3.7,20,"CN","new style",4.06,"5b35cab04f75026255f2364a",-12.50,180000,"High"
9,76,20000,0,3.55,36,"CN","hot dress",3.97,"56f0dab6277db57b2a18e14e",88.16,180000,"High"
9,36,20000,0,4.09,42,"CN","shopping&s",4.17,"59cc60cb86ac5b2f32a92b8a",75.00,180000,"High"
9,8,20000,1,3.88,39,"CN","zhenyangon",4.1,"5578fe96893ec31c0ad635e6",-12.50,180000,"High"
9,8,20000,1,3.94,41,"CN","paoyeye",4.08,"5bb6cfd4e0334021219d5d2f",-12.50,180000,"High"
9,14,20000,1,3.31,33,"CN","william&ja",3.9,"5b82f9d02e756e165025e7b8",35.71,180000,"High"
9,26,20000,0,3.6,43,"CN","cuiior",3.87,"5db8fcb8805c6a02fb6dcc29",65.38,180000,"High"
9,9,20000,0,4.1,41,"CN","fashion tr",4,"593fb0c99a2eee2bb40cee61",0.00,180000,"High"
9,50,20000,0,4.17,41,"CN","hanzhy",4.01,"5c554a96f0a57768026f4891",82.00,180000,"High"
9,9,20000,0,3.82,43,"CN","centper3",4.08,"5a8f82375e2ae101c8913122",0.00,180000,"High"
18,17,10000,0,4.17,39,"CN","maozhuocai",4.25,"5c8783d4fc2f9d769aa1cc3e",-5.88,180000,"Medium High"
17,15,10000,0,4.16,52,"CN","vangull",4.35,"5780938ff1ab1f1146be7dd1",-13.33,170000,"Medium High"
8,22,20000,1,3.45,41,"CN","sarahouse",3.9,"58940d436a0d3d5da4e95a38",63.64,160000,"High"
8,7,20000,1,4.17,41,"CN","wrong turn",4.15,"5a618aff64621a6a2122adb6",-14.29,160000,"High"
8,75,20000,0,4.39,36,"CN","xidan1949",4.45,"597adab2ab03f4429e23d778",89.33,160000,"High"
8,7,20000,0,3.68,24,"CN","hzruanyf",3.88,"5c8a16b5cb281923bc848d20",-14.29,160000,"High"
8,7,20000,0,4.05,31,"CN","facing the",4.17,"57639e8824841762459c5e5c",-14.29,160000,"High"
8,7,20000,1,3.8,38,"CN","happygirl ",4.04,"56fc8fb110d0170f68dcc789",-14.29,160000,"High"
8,7,20000,1,4.25,44,"CN","rell mail",4.16,"5c91a7ae7cfe8e4e64c36d97",-14.29,160000,"High"
8,7,20000,0,3.63,43,"CN","witkey bl",4.05,"5cb6c6e841ec3b10cad8e77f",-14.29,160000,"High"
8,84,20000,0,3.96,125,"CN","shaoling01",4.2,"58e0f38f9bf29f55183efd0d",90.48,160000,"High"
8,7,20000,0,3.96,20,"CN","exingstore",4,"5b5815ff4092766d7dbafc3f",-14.29,160000,"High"
8,7,20000,0,3.9,18,"CN","superheros",4.13,"5b31e341ec739662f2bd71ab",-14.29,160000,"High"
16,14,10000,0,4.34,47,"CN","hot summer",4.3,"593e59811897c53b972f5dc7",-14.29,160000,"Medium High"
8,30,20000,0,3.61,42,"CN","beauty_bab",4.11,"59115cdde048527c7195b49f",73.33,160000,"High"
16,14,10000,0,3.74,46,"CN","gdear",4.31,"5919b96486a1694f4fbcfa12",-14.29,160000,"Medium High"
8,7,20000,1,3.61,38,"CN","happygirl ",4.04,"5525ebeb3056e817e9ccba1d",-14.29,160000,"High"
8,85,20000,0,3.37,47,"CN","gl",4.16,"5763e16461221c639c5ec734",90.59,160000,"High"
16,14,10000,0,3.87,41,"CN","petha's bo",4.07,"5b0e18738213af277cb862f9",-14.29,160000,"Medium High"
8,7,20000,0,3.33,43,"CN","young's bo",3.8,"5c3444e69740a97bc41bdb5e",-14.29,160000,"High"
8,7,20000,1,3.59,23,"CN","suyi techn",4.05,"5d00c646e1fe9971cb8aeb9a",-14.29,160000,"High"
8,7,20000,0,3.41,40,NULL,"business i",4.21,"56f640b461d6cf68cb5c5d83",-14.29,160000,"High"
8,7,20000,0,4.16,32,"CN","211670008@",4.28,"57eccd2865007e1903d250d8",-14.29,160000,"High"
8,59,20000,1,4.03,42,"CN","fengyizuba",4.08,"5a925ede414de21cb29cba9e",86.44,160000,"High"
8,7,20000,1,3.95,38,"CN","jinqianbao",4,"56ab07ee59a6820f0a29f468",-14.29,160000,"High"
16,108,10000,1,4.25,40,"CN","vvfashion2",4.2,"5b2a113209dce569672cc9f2",85.19,160000,"Medium High"
8,7,20000,0,3.39,47,"CN","gl",4.16,"569de6363e68eb0d85e0cded",-14.29,160000,"High"
8,7,20000,0,3.92,20,"CN","foryingni",4.09,"5b42cb780cb47619a7f6bbc2",-14.29,160000,"High"
3,3,50000,0,3.81,38,"CN","mermaid 's",4.05,"587dc542c334b3508f79d68b",0.00,150000,"Very High"
14,12,10000,0,3.93,26,"CN","xiejiatang",3.89,"5acb7ae3a69e662bb0133546",-16.67,140000,"Medium High"
14,12,10000,1,4.36,38,"CN","haohuangsh",4.24,"5954c8008329cb74b77e81e6",-16.67,140000,"Medium High"
14,75,10000,0,4.15,43,"CN","seven o.o",4.07,"588392e43d29014fabb85dad",81.33,140000,"Medium High"
14,12,10000,1,3.65,32,"CN","dakaring",4.22,"56fe70b837c44740638391a6",-16.67,140000,"Medium High"
7,11,20000,0,3.98,41,"CN","shelan",4.06,"5899205070782c519e2d8738",36.36,140000,"High"
7,6,20000,1,4.22,36,"CN","forloveyou",4.16,"5d088a1afc092c6d6e8c9daf",-16.67,140000,"High"
14,139,10000,1,4.26,44,"CN","jayne208",4.19,"5d0731413f99db0be0450928",89.93,140000,"Medium High"
7,6,20000,1,4,50,"CN","prosehome",4.07,"5cedee9d7775ef72c072be78",-16.67,140000,"High"
13,84,10000,1,4.36,33,"CN","keeptop in",4.3,"5b45bfd6d26302285f0f83e6",84.52,130000,"Medium High"
13,84,10000,1,4.07,41,"CN","treasure l",4.2,"5c25a5209e480d5fa87c638a",84.52,130000,"Medium High"
13,11,10000,1,3.87,37,"CN","liuani",4.03,"5b07af657c3f11160f8bb7d9",-18.18,130000,"Medium High"
13,11,10000,0,4.12,36,"CN","teamwolf",4.15,"5a6ac97e5983516f0f0dbf85",-18.18,130000,"Medium High"
13,11,10000,0,3.9,52,"CN","seagull",4.31,"5707400fae8c9365ccb888bd",-18.18,130000,"Medium High"
13,14,10000,0,3.74,18,"CN","xiaojiunia",3.94,"5d1460e2aec1fd1f8cc82be5",7.14,130000,"Medium High"
12,43,10000,1,3.87,42,"CN","clothes-ma",3.97,"5cf5d255217c704c9f5ac4e0",72.09,120000,"Medium High"
12,13,10000,0,3.56,42,"CN","fashion sh",4.09,"554b114fff561a1235152554",7.69,120000,"Medium High"
12,16,10000,0,3.01,18,"CN","onlyzy",3.9,"5d32ae381e56691d7722e2c2",25.00,120000,"Medium High"
12,87,10000,0,4.11,40,"CN","vvfashion2",4.2,"5840d0503d6ce66bf4ff84e0",86.21,120000,"Medium High"
12,11,10000,0,3.25,11,"CN","cjinxiang",3.79,"5ce4172ab1219155bd999296",-9.09,120000,"Medium High"
6,6,20000,1,3.74,43,"CN","yangxueqin",4.11,"5af8fc1aa708c4241d0cf8a3",0.00,120000,"High"
6,6,20000,1,3.71,38,"CN","mlhaxzylgf",4.07,"5abb034f5e2ae16763047591",0.00,120000,"High"
6,6,20000,1,3.97,35,"CN","f40051ab1z",3.97,"5cf0a87f2202a759d6ddb369",0.00,120000,"High"
12,11,10000,0,4.14,30,"CN","chen tidal",3.98,"5ad8a6fda7d4844b7e6d9e5e",-9.09,120000,"Medium High"
6,6,20000,1,3.99,33,"CN","wow bang",4.11,"5cf509abb483551e0278ac5e",0.00,120000,"High"
6,13,20000,1,3.85,40,"CN","mohuya",4.08,"5dd4b6c20f11f57cf9ad97d8",53.85,120000,"High"
6,6,20000,0,3.96,40,"CN","love fashi",4,"5b42fbca85270064d13d6679",0.00,120000,"High"
5.88,9,20000,0,4.07,55,"CN","shanghai c",4.32,"55ac4e9fc21d2e406f4b90b7",34.67,117600,"High"
5.87,5,20000,1,3.98,18,"CN","yshsbjj",4.12,"5b0bbe32c1082f71c9ad9209",-17.40,117400,"High"
5.8,43,20000,1,3.47,35,"CN","ataoios",3.96,"5b326af509dce53d08a6466b",86.51,116000,"High"
5.78,8,20000,1,4,29,"CN","vemaneya",4.18,"5c061cf358603c4b35a19363",27.75,115600,"High"
5.71,84,20000,0,3.9,47,"CN","handsome_9",4.2,"592fc0ee8f7b083a09f0f64f",93.20,114200,"High"
5.67,5,20000,0,3.63,40,NULL,"freebird",4.1,"5801bf9ef22bef78458987d8",-13.40,113400,"High"
5.66,5,20000,0,4.14,29,"CN","ligen",4.2,"5b22ee2dcf612a12962a84f6",-13.20,113200,"High"
5.65,5,20000,0,4.29,43,"CN","happyshooo",4.02,"5a4f2d8f5dcd0221008b2c36",-13.00,113000,"High"
11,20,10000,0,3.92,41,"CN","lirenlanfa",3.87,"5b1b4f77b1e26e24b3058773",45.00,110000,"Medium High"
11,10,10000,0,4.02,41,"CN","shenzhenma",4.15,"5be393792655325c8004cf82",-10.00,110000,"Medium High"
11,10,10000,1,4.09,35,"CN","bebebebe w",4.09,"5cf7a100809b316c5d761f61",-10.00,110000,"Medium High"
11,43,10000,0,3.28,35,"CN","shenzhen l",4.12,"5a3cccf4e723d838617c8a68",74.42,110000,"Medium High"
11,10,10000,1,4.05,45,"CN","yubenqiang",3.94,"5cedf93ac0baab7389f4ccd7",-10.00,110000,"Medium High"
11,10,10000,0,4.24,36,"CN","luojiayush",4.29,"5b29e5b5080ea2661b2287f6",-10.00,110000,"Medium High"
11,16,10000,1,3.75,42,"CN","vr shoppin",4.15,"59a6a209d2bcb73a60589e00",31.25,110000,"Medium High"
11,10,10000,1,3.86,39,"CN","eleven int",4.03,"59785c836bfb5f7a747d6eb5",-10.00,110000,"Medium High"
11,10,10000,0,3.75,23,"CN","home goods",4.24,"5577faf03cef83230c39d0c3",-10.00,110000,"Medium High"
11,10,10000,0,4.16,72,"CN","ji hua shi",4.11,"58ca99f931a345532b684d7e",-10.00,110000,"Medium High"
11,10,10000,1,3.76,36,"CN","pentiumhor",4.14,"5cdfa97c034a3c0f3af1bfd1",-10.00,110000,"Medium High"
11,10,10000,0,3.72,34,"CN","2312hangm",3.96,"5cd3e795ebe403118bbc0f89",-10.00,110000,"Medium High"
11,10,10000,0,3.65,46,"CN","gdear",4.31,"591c6e86681f5f27332330ce",-10.00,110000,"Medium High"
11,10,10000,0,3.77,31,"CN","lin fashio",4,"5c78151c27202a28a75752b7",-10.00,110000,"Medium High"
11,11,10000,0,3.75,60,"US","modelup",4.18,"5af661dd2c642f136b49527b",0.00,110000,"Medium High"
11,12,10000,0,3.96,23,"CN","ainiu",4.12,"5c3befd857ceb9569c5dbb8d",8.33,110000,"Medium High"
11,43,10000,1,3.98,43,"CN","suzhou lev",3.93,"5e7ed12eb0bce72e808fd175",74.42,110000,"Medium High"
5,5,20000,0,4.07,32,"CN","211670008@",4.28,"5ae01ea95e2ae114f138414f",0.00,100000,"High"
5,6,20000,0,3.6,41,"CN","oucho co. ",3.98,"5c244b73e6a1c618296f73db",16.67,100000,"High"
5,7,20000,1,4.13,28,"CN","shuilingji",4.08,"5cb149f2b8ef3559d7a616a0",28.57,100000,"High"
2,2,50000,0,4.01,51,"CN","xixi520",4.17,"5aec5aa5e08184220e174919",0.00,100000,"Very High"
5,5,20000,0,4.19,38,"CN","zcmp",4.26,"5947718c4600c76e72246e75",0.00,100000,"High"
19,17,5000,0,3.77,27,"CN","smileevery",3.96,"5b238ab1ddaa9221a9b9249c",-11.76,95000,"Medium"
19,21,5000,0,4.09,40,"CN","ailla clot",4.09,"535530635aefb0555ba4351f",9.52,95000,"Medium"
9,9,10000,1,3.74,44,"CN","new lucky",4.2,"5aa37d856d638a7ee5469a6c",0.00,90000,"Medium High"
9,8,10000,0,4.03,38,"CN","yuzk",4.21,"5b20b718a2a83e2ca6e9ac7e",-12.50,90000,"Medium High"
9,59,10000,0,3.77,47,"CN","manystone9",4.19,"5c823b50a937185c992e6d2f",84.75,90000,"Medium High"
9,22,10000,0,3.82,18,"CN","listone",3.87,"5c874bffc7901e40dcb53cd2",59.09,90000,"Medium High"
